,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1456942,,,,,,,,1,27/07/2022,Vente,"135000,00",24.0,,RUE,1090,BOSSUET,33800.0,BORDEAUX,33,63,,CD,95,,22,"22,89",,,,,,,,,1,2.0,Appartement,,24.0,2.0,,,
1456943,,,,,,,,1,01/08/2022,Vente,"303500,00",7.0,,RUE,4810,JUDAIQUE,33000.0,BORDEAUX,33,63,,KX,98,,5,"61,06",,,,,,,,,1,2.0,Appartement,,61.0,3.0,,,
1456944,,,,,,,,1,25/07/2022,Vente,"115001,00",11.0,,RUE,8555,SAUMENUDE,33800.0,BORDEAUX,33,63,,DN,517,,7,,,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1456947,,,,,,,,1,16/08/2022,Vente,"125930,00",37.0,,RUE,6275,DES MENUTS,33000.0,BORDEAUX,33,63,,DR,162,,8,"47,96",,,,,,,,,1,2.0,Appartement,,48.0,2.0,,,
1456948,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,23.0,1.0,S,,507.0
1456949,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,39.0,3.0,S,,507.0
1456950,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,23.0,1.0,S,,507.0
1456951,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,27.0,1.0,S,,507.0
1456952,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,18.0,2.0,S,,507.0
1456953,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,35.0,2.0,S,,507.0
1456954,,,,,,,,1,16/08/2022,Vente,"812300,00",53.0,,RUE,5860,MALBEC,33800.0,BORDEAUX,33,63,,CZ,28,,,,,,,,,,,,0,2.0,Appartement,,41.0,2.0,S,,507.0
1456977,,,,,,,,1,01/08/2022,Vente,"139000,00",17.0,,RUE,3950,GENSAN,33000.0,BORDEAUX,33,63,,DO,27,,4,"26,91",,,,,,,,,1,2.0,Appartement,,45.0,2.0,,,
1456983,,,,,,,,1,09/08/2022,Vente,"267550,00",23.0,,RUE,4860,JULES MICHELET,33200.0,BORDEAUX,33,63,,NY,1,,171,,39,"66,63",,,,,,,2,2.0,Appartement,,67.0,4.0,,,
1456989,,,,,,,,1,12/08/2022,Vente,"317200,00",30.0,,RUE,7070,PAULIN,33000.0,BORDEAUX,33,63,,LB,228,,3,"69,89",,,,,,,,,1,2.0,Appartement,,70.0,3.0,,,
1457005,,,,,,,,1,04/08/2022,Vente,"300000,00",3.0,,RUE,9355,DU VIEUX MARCHE,33000.0,BORDEAUX,33,63,,HD,413,,101,,126,,,,,,,,2,2.0,Appartement,,50.0,2.0,,,
1457007,,,,,,,,1,10/08/2022,Vente,"235000,00",214.0,,RUE,8390,SAINTE CATHERINE,33000.0,BORDEAUX,33,63,,DS,98,,9,,,,,,,,,,1,2.0,Appartement,,65.0,3.0,,,
1457009,,,,,,,,1,16/08/2022,Vente,"191500,00",4.0,,RUE,2840,DUBOURDIEU,33800.0,BORDEAUX,33,63,,ER,186,,11,,,,,,,,,,1,2.0,Appartement,,29.0,1.0,,,
1457017,,,,,,,,1,22/07/2022,Vente,"895000,00",20.0,,AV,6475,MONRABEAU,33200.0,BORDEAUX,33,63,,VM,27,,,,,,,,,,,,0,1.0,Maison,,160.0,5.0,S,,426.0
1457019,,,,,,,,1,27/07/2022,Vente,"457000,00",6.0,,RUE,0910,DE BETHMANN,33000.0,BORDEAUX,33,63,,ID,21,,,,,,,,,,,,0,1.0,Maison,,60.0,2.0,S,,119.0
1457022,,,,,,,,1,11/08/2022,Vente,"178000,00",222.0,,RUE,1585,CARLE VERNET,33800.0,BORDEAUX,33,63,,BY,285,,2813,,,,,,,,,,1,2.0,Appartement,,65.0,3.0,,,
1457048,,,,,,,,1,20/07/2022,Vente,"327400,00",15.0,,RUE,2355,DE LA COURSE,33000.0,BORDEAUX,33,63,,PN,89,,1,,,,,,,,,,1,2.0,Appartement,,37.0,2.0,,,
1457049,,,,,,,,1,27/07/2022,Vente,"1060000,00",8.0,,RUE,0311,D ANJOU,33000.0,BORDEAUX,33,63,,PA,208,,,,,,,,,,,,0,1.0,Maison,,130.0,5.0,S,,147.0
1457052,,,,,,,,1,25/07/2022,Vente,"355000,00",75.0,S,RUE,0930,BILLAUDEL,33800.0,BORDEAUX,33,63,,CX,144,,,,,,,,,,,,0,1.0,Maison,,64.0,3.0,S,,146.0
1457054,,,,,,,,1,12/08/2022,Vente,"254000,00",24.0,,RUE,3908,GENERAL DE LARMINAT,33000.0,BORDEAUX,33,63,,IY,40,,139,,,,,,,,,,1,2.0,Appartement,,66.0,3.0,,,
1457067,,,,,,,,1,26/07/2022,Vente,"1068900,00",5.0,,RUE,7780,RAVEZ,33000.0,BORDEAUX,33,63,,HD,49,,14,"186,59",,,,,,,,,1,2.0,Appartement,,220.0,5.0,,,
1457076,,,,,,,,1,21/07/2022,Vente,"400000,00",40.0,,RUE,1300,BUCHOU,33800.0,BORDEAUX,33,63,,CV,73,,,,,,,,,,,,0,2.0,Appartement,,12.0,1.0,S,,116.0
1457078,,,,,,,,1,21/07/2022,Vente,"400000,00",40.0,,RUE,1300,BUCHOU,33800.0,BORDEAUX,33,63,,CV,73,,,,,,,,,,,,0,2.0,Appartement,,53.0,2.0,S,,116.0
1457079,,,,,,,,1,21/07/2022,Vente,"400000,00",40.0,,RUE,1300,BUCHOU,33800.0,BORDEAUX,33,63,,CV,73,,,,,,,,,,,,0,2.0,Appartement,,24.0,1.0,S,,116.0
1457082,,,,,,,,1,16/08/2022,Vente,"379147,00",27.0,,RUE,5005,DE LADOUS,33800.0,BORDEAUX,33,63,,CB,12,,,,,,,,,,,,0,1.0,Maison,,58.0,3.0,S,,239.0
1457094,,,,,,,,1,04/08/2022,Vente,"310050,00",311.0,,CRS,5990,DU MARECHAL GALLIENI,33000.0,BORDEAUX,33,63,,ID,398,,1004,"88,10",,,,,,,,,1,2.0,Appartement,,88.0,4.0,,,
1457096,,,,,,,,1,16/08/2022,Vente,"620000,00",12.0,,RUE,5785,MAC CARTHY CAUD,33200.0,BORDEAUX,33,63,,NO,201,,,,,,,,,,,,0,1.0,Maison,,121.0,5.0,S,,370.0
1457100,,,,,,,,1,29/07/2022,Vente,"470000,00",21.0,,RUE,7655,PROFESSEUR VILLEMIN,33300.0,BORDEAUX,33,63,,SE,163,,1,,,,,,,,,,1,1.0,Maison,,144.0,5.0,,,
1457102,,,,,,,,1,27/07/2022,Vente,"187700,00",24.0,,RUE,7130,DU PERE LOUIS DE JABRUN,33000.0,BORDEAUX,33,63,,KH,190,,6,,,,,,,,,,1,2.0,Appartement,,26.0,0.0,,,
1457103,,,,,,,,1,05/08/2022,Vente,"84000,00",78.0,,RUE,7735,QUINTIN,33000.0,BORDEAUX,33,63,,IB,28,,16,,,,,,,,,,1,2.0,Appartement,,16.0,1.0,,,
1457104,,,,,,,,1,05/08/2022,Vente,"224300,00",30.0,,ALL,4318,HAUSSMANN,33300.0,BORDEAUX,33,63,,RM,44,,10,,,,,,,,,,1,2.0,Appartement,,42.0,2.0,,,
1457109,,,,,,,,1,12/08/2022,Vente,"115000,00",206.0,,RUE,8975,DU TONDU,33000.0,BORDEAUX,33,63,,EW,247,,2,"20,34",,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1457116,,,,,,,,1,29/07/2022,Vente,"257500,00",22.0,,RUE,4645,J JACQUES ROUSSEAU,33000.0,BORDEAUX,33,63,,KO,44,,6,"57,62",,,,,,,,,1,2.0,Appartement,,72.0,3.0,,,
1457120,,,,,,,,1,29/07/2022,Vente,"450000,00",22.0,,RUE,4645,J JACQUES ROUSSEAU,33000.0,BORDEAUX,33,63,,KO,44,,9,"100,00",,,,,,,,,1,2.0,Appartement,,26.0,2.0,,,
1457157,,,,,,,,1,29/07/2022,Vente,"111000,00",33.0,,RUE,5377,LEON JOUHAUX,33800.0,BORDEAUX,33,63,,BY,285,,2261,,,,,,,,,,1,2.0,Appartement,,48.0,2.0,,,
1457167,,,,,,,,1,08/08/2022,Vente,"212140,00",74.0,,RUE,4840,JULES FERRY,33200.0,BORDEAUX,33,63,,MR,60,,52,"49,66",,,,,,,,,1,2.0,Appartement,,50.0,2.0,,,
1457172,,,,,,,,1,11/08/2022,Vente,"215000,00",5.0,,QUAI,6465,DE LA MONNAIE,33800.0,BORDEAUX,33,63,,DN,86,,3,,,,,,,,,,1,2.0,Appartement,,37.0,1.0,,,
1457176,,,,,,,,1,10/08/2022,Vente,"214000,00",25.0,,RUE,5196,LAPORTE CAUD,33200.0,BORDEAUX,33,63,,VH,53,,4,,,,,,,,,,1,2.0,Appartement,,86.0,3.0,,,
1457181,,,,,,,,1,25/07/2022,Vente,"227000,00",18.0,,RUE,2370,DU COUVENT,33000.0,BORDEAUX,33,63,,PK,8,,3,,,,,,,,,,1,2.0,Appartement,,46.0,2.0,,,
1457184,,,,,,,,1,17/08/2022,Vente,"285000,00",4.0,,RUE,7330,PILET,33000.0,BORDEAUX,33,63,,DP,208,,17,"52,74",2,,,,,,,,2,2.0,Appartement,,58.0,2.0,,,
1457191,,,,,,,,1,16/08/2022,Vente,"295000,00",126.0,,RUE,6800,DES ORANGERS,33200.0,BORDEAUX,33,63,,YD,355,,26,"65,08",,,,,,,,,1,2.0,Appartement,,65.0,3.0,,,
1457200,,,,,,,,1,09/08/2022,Vente,"350000,00",41.0,,QUAI,0540,BACALAN,33300.0,BORDEAUX,33,63,,RS,69,,7,"53,85",,,,,,,,,1,2.0,Appartement,,55.0,2.0,,,
1457210,,,,,,,,1,05/08/2022,Vente,"603000,00",79.0,,RUE,6605,MOUNEYRA,33000.0,BORDEAUX,33,63,,HN,69,,,,,,,,,,,,0,1.0,Maison,,125.0,6.0,S,,184.0
1457213,,,,,,,,1,28/07/2022,Vente,"742000,00",12.0,,IMP,5847,MAITRE JEAN,33000.0,BORDEAUX,33,63,,IP,20,,,,,,,,,,,,0,1.0,Maison,,115.0,4.0,S,,402.0
1457220,,,,,,,,1,18/08/2022,Vente,"671701,00",49.0,,RUE,8315,SAINT MAUR,33000.0,BORDEAUX,33,63,,PO,233,,,,,,,,,,,,0,1.0,Maison,,116.0,5.0,S,,57.0
1457229,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,35.0,2.0,S,,55.0
1457230,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,20.0,1.0,S,,55.0
1457231,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,18.0,1.0,S,,55.0
1457232,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,14.0,1.0,S,,55.0
1457233,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,14.0,1.0,S,,55.0
1457234,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,14.0,1.0,S,,55.0
1457235,,,,,,,,1,29/07/2022,Vente,"750000,00",29.0,,RUE,0305,ANDRONNE,33800.0,BORDEAUX,33,63,,DN,159,,,,,,,,,,,,0,2.0,Appartement,,18.0,1.0,S,,55.0
1457242,,,,,,,,1,26/07/2022,Vente,"344000,00",16.0,,ALL,8762,STENDHAL,33300.0,BORDEAUX,33,63,,RH,185,,104,,,,,,,,,,1,2.0,Appartement,,96.0,4.0,,,
1457246,,,,,,,,1,29/07/2022,Vente,"1206280,00",73.0,,RUE,4901,KLEBER CAUD,33200.0,BORDEAUX,33,63,,ND,86,,,,,,,,,,,,0,1.0,Maison,,168.0,6.0,S,,294.0
1457254,,,,,,,,1,02/08/2022,Vente,"302000,00",34.0,,RUE,8270,SAINT JOSEPH,33000.0,BORDEAUX,33,63,,PL,114,,6,,,,,,,,,,1,2.0,Appartement,,57.0,3.0,,,
1457258,,,,,,,,1,19/08/2022,Vente,"165000,00",27.0,,RUE,1120,BOULAN,33000.0,BORDEAUX,33,63,,KE,11,,5,,,,,,,,,,1,2.0,Appartement,,21.0,1.0,,,
1457267,,,,,,,,1,29/07/2022,Vente,"230000,00",13.0,,ALL,0335,ARAGO,33200.0,BORDEAUX,33,63,,YH,247,,428,,,,,,,,,,1,2.0,Appartement,,42.0,2.0,,,
1457268,,,,,,,,1,02/08/2022,Vente,"447500,00",20.0,,RUE,7820,RAZE,33000.0,BORDEAUX,33,63,,PK,51,,11,,,,,,,,,,1,2.0,Appartement,,60.0,2.0,,,
1457283,,,,,,,,1,26/07/2022,Vente,"287300,00",39.0,,RUE,7005,PAUL BERTHELOT,33300.0,BORDEAUX,33,63,,RC,106,,206,,273,,,,,,,,2,2.0,Appartement,,97.0,4.0,,,
1457290,,,,,,,,1,01/08/2022,Vente,"113000,00",6.0,,RUE,4040,GINER DE LOS RIOS,33800.0,BORDEAUX,33,63,,DB,216,,38,"14,00",,,,,,,,,1,2.0,Appartement,,15.0,1.0,,,
1457294,,,,,,,,1,21/07/2022,Vente,"216500,00",19.0,,CRS,7711,DE QUEBEC,33300.0,BORDEAUX,33,63,,TC,97,,187,,,,,,,,,,1,2.0,Appartement,,69.0,3.0,,,
1457295,,,,,,,,1,09/08/2022,Vente,"135000,00",14.0,,RUE,9395,DE LA VILLE MIRMONT,33000.0,BORDEAUX,33,63,,PE,45,,2,,,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1457297,,,,,,,,1,26/07/2022,Vente,"130000,00",24.0,,RUE,1520,DES CAPERANS,33000.0,BORDEAUX,33,63,,KM,145,,2,,,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1457304,,,,,,,,1,22/06/2022,Vente,"470000,00",113.0,,RUE,1435,CAMILLE GODARD,33000.0,BORDEAUX,33,63,,PS,68,,1,,8,,,,,,,,2,2.0,Appartement,,123.0,4.0,,,
1457322,,,,,,,,1,01/08/2022,Vente,"498000,00",71.0,,RUE,5495,LEYTEIRE,33000.0,BORDEAUX,33,63,,DR,102,,9,,,,,,,,,,1,2.0,Appartement,,121.0,3.0,,,
1457323,,,,,,,,1,02/08/2022,Vente,"105000,00",4.0,,RUE,6575,DU MOULIN,33800.0,BORDEAUX,33,63,,DM,67,,8,,,,,,,,,,1,2.0,Appartement,,21.0,1.0,,,
1457325,,,,,,,,1,28/07/2022,Vente,"665000,00",23.0,,RUE,5890,MANON CORMIER,33000.0,BORDEAUX,33,63,,HP,110,,,,,,,,,,,,0,1.0,Maison,,109.0,3.0,S,,242.0
1457328,,,,,,,,1,28/07/2022,Vente,"864500,00",21.0,,RUE,6990,DE PAUILLAC CAUD,33200.0,BORDEAUX,33,63,,MK,211,,,,,,,,,,,,0,1.0,Maison,,152.0,6.0,S,,224.0
1457329,,,,,,,,1,08/08/2022,Vente,"600000,00",23.0,,RUE,5290,DU LAVOIR,33000.0,BORDEAUX,33,63,,OX,34,,,,,,,,,,,,0,1.0,Maison,,110.0,3.0,S,,160.0
1457339,,,,,,,,1,29/07/2022,Vente,"175000,00",18.0,,AV,5931,MARCEL DASSAULT,33300.0,BORDEAUX,33,63,,TH,12,,323,"43,85",,,,,,,,,1,2.0,Appartement,,44.0,2.0,,,
1457345,,,,,,,,1,29/07/2022,Vente,"589400,00",8.0,,RUE,5290,DU LAVOIR,33000.0,BORDEAUX,33,63,,PB,34,,,,,,,,,,,,0,1.0,Maison,,98.0,4.0,S,,107.0
1457347,,,,,,,,1,16/08/2022,Vente,"200000,00",13.0,,RUE,6180,MAUCOUDINAT,33000.0,BORDEAUX,33,63,,KJ,155,,1,,4,,,,,,,,2,2.0,Appartement,,44.0,2.0,,,
1457360,,,,,,,,1,28/07/2022,Vente,"172000,00",90.0,B,RUE,3685,FRANCOIS DE SOURDIS,33000.0,BORDEAUX,33,63,,HM,143,,35,,,,,,,,,,1,2.0,Appartement,,30.0,2.0,,,
1457361,,,,,,,,1,05/08/2022,Vente,"217000,00",134.0,,CRS,0365,DE L ARGONNE,33000.0,BORDEAUX,33,63,,EB,72,,48,"29,42",,,,,,,,,1,2.0,Appartement,,31.0,2.0,,,
1457381,,,,,,,,1,05/08/2022,Vente,"302700,00",62.0,,CRS,6265,DU MEDOC,33300.0,BORDEAUX,33,63,,RP,10,,1,"80,70",,,,,,,,,1,2.0,Appartement,,80.0,3.0,,,
1457382,,,,,,,,1,05/08/2022,Vente,"180000,00",108.0,B,CRS,8285,SAINT LOUIS,33300.0,BORDEAUX,33,63,,RO,55,,550,"47,09",,,,,,,,,1,2.0,Appartement,,47.0,2.0,,,
1457386,,,,,,,,1,19/08/2022,Vente,"259075,00",96.0,,RUE,5725,LUCIEN FAURE,33300.0,BORDEAUX,33,63,,RX,19,,6045,"39,62",,,,,,,,,1,2.0,Appartement,,39.0,2.0,,,
1457387,,,,,,,,1,09/08/2022,Vente,"360000,00",2.0,,RUE,9215,VAUCHER,33800.0,BORDEAUX,33,63,,CK,169,,4,"68,60",,,,,,,,,1,2.0,Appartement,,69.0,3.0,,,
1457388,,,,,,,,1,05/08/2022,Vente,"268000,00",16.0,,RUE,5400,LEONCE JUGLA,33800.0,BORDEAUX,33,63,,CB,40,,,,,,,,,,,,0,1.0,Maison,,96.0,3.0,S,,73.0
1457393,,,,,,,,1,09/08/2022,Vente,"495200,00",39.0,,RUE,0255,ANDRE,33200.0,BORDEAUX,33,63,,NR,139,,,,,,,,,,,,0,1.0,Maison,,86.0,4.0,S,,209.0
1457395,,,,,,,,1,17/08/2022,Vente,"96000,00",16.0,,RUE,7415,DU PONT DE LA MOUSQUE,33000.0,BORDEAUX,33,63,,KM,93,,12,,37,,,,,,,,2,2.0,Appartement,,13.0,1.0,,,
1457398,,,,,,,,1,17/08/2022,Vente,"397000,00",30.0,,ALL,4318,HAUSSMANN,33300.0,BORDEAUX,33,63,,RM,44,,111,,,,,,,,,,1,2.0,Appartement,,87.0,4.0,,,
1457416,,,,,,,,1,16/08/2022,Vente,"345000,00",15.0,,RUE,8830,TASTET,33000.0,BORDEAUX,33,63,,HL,33,,20,,,,,,,,,,1,2.0,Appartement,,65.0,3.0,,,
1457430,,,,,,,,1,27/07/2022,Vente,"107351,00",12.0,,RUE,1855,CITE CHANTECRIT,33300.0,BORDEAUX,33,63,,RN,5,,19,,,,,,,,,,1,2.0,Appartement,,46.0,2.0,,,
1457433,,,,,,,,1,03/08/2022,Vente,"670000,00",11.0,,RUE,4516,JACQUES LEMARCHAND,33200.0,BORDEAUX,33,63,,YH,221,,,,,,,,,,,,0,1.0,Maison,,138.0,5.0,S,,456.0
1457445,,,,,,,,1,28/07/2022,Vente,"480000,00",5.0,,RUE,4250,GUILLAUME BROCHON,33000.0,BORDEAUX,33,63,,KN,123,,2001,,,,,,,,,,1,2.0,Appartement,,120.0,4.0,,,
1457451,,,,,,,,1,18/07/2022,Vente,"875200,00",40.0,,RUE,5875,MALLERET,33000.0,BORDEAUX,33,63,,LE,84,,,,,,,,,,,,0,1.0,Maison,,148.0,5.0,S,,116.0
1457452,,,,,,,,1,22/07/2022,Vente,"268000,00",1.0,,CITE,2890,DUGAY,33000.0,BORDEAUX,33,63,,IC,201,,,,,,,,,,,,0,1.0,Maison,,50.0,3.0,S,,81.0
1457454,,,,,,,,1,11/08/2022,Vente,"137500,00",43.0,,RUE,3120,ELIE GINTRAC,33000.0,BORDEAUX,33,63,,DC,51,,4,,,,,,,,,,1,2.0,Appartement,,30.0,2.0,,,
1457456,,,,,,,,1,29/07/2022,Vente,"425000,00",21.0,,CRS,3090,EDOUARD VAILLANT,33300.0,BORDEAUX,33,63,,RY,33,,28,,,,,,,,,,1,2.0,Appartement,,94.0,4.0,,,
1457459,,,,,,,,1,02/08/2022,Vente,"253300,00",10.0,,PROM,4946,DU LAC,33300.0,BORDEAUX,33,63,,TC,144,,24012,"83,27",,,,,,,,,1,2.0,Appartement,,89.0,4.0,,,
1457465,,,,,,,,1,29/07/2022,Vente,"308000,00",174.0,,RUE,3685,FRANCOIS DE SOURDIS,33000.0,BORDEAUX,33,63,,EX,115,,4,,,,,,,,,,1,2.0,Appartement,,50.0,4.0,,,
1457470,,,,,,,,1,17/08/2022,Vente,"420000,00",5.0,,RUE,2145,COIFFARD,33200.0,BORDEAUX,33,63,,OC,123,,6,"85,80",,,,,,,,,1,2.0,Appartement,,85.0,4.0,,,
1457485,,,,,,,,1,13/05/2022,Vente,"424000,00",19.0,,RUE,4040,GINER DE LOS RIOS,33800.0,BORDEAUX,33,63,,DB,72,,,,,,,,,,,,0,1.0,Maison,,76.0,3.0,S,,123.0
1457491,,,,,,,,1,04/08/2022,Vente,"217000,00",19.0,,RUE,2985,DURET,33300.0,BORDEAUX,33,63,,RT,109,,27,"44,23",,,,,,,,,1,2.0,Appartement,,44.0,2.0,,,
1457492,,,,,,,,1,01/08/2022,Vente,"163000,00",8.0,,RUE,7150,PERINOT,33200.0,BORDEAUX,33,63,,YO,143,,91,,,,,,,,,,1,2.0,Appartement,,34.0,2.0,,,
1457495,,,,,,,,1,03/08/2022,Vente,"1523900,00",9.0,,RUE,9410,VILLEDIEU,33000.0,BORDEAUX,33,63,,DV,113,,,,,,,,,,,,0,1.0,Maison,,210.0,6.0,S,,653.0
1457497,,,,,,,,1,27/07/2022,Vente,"450000,00",96.0,,RUE,8975,DU TONDU,33000.0,BORDEAUX,33,63,,EY,256,,,,,,,,,,,,0,1.0,Maison,,122.0,6.0,S,,71.0
1457523,,,,,,,,1,29/07/2022,Vente,"255000,00",18.0,,RUE,2370,DU COUVENT,33000.0,BORDEAUX,33,63,,PK,8,,4,"46,96",,,,,,,,,1,2.0,Appartement,,46.0,2.0,,,
1457526,,,,,,,,1,29/07/2022,Vente,"1197000,00",192.0,,RUE,6660,NAUJAC,33000.0,BORDEAUX,33,63,,LM,26,,,,,,,,,,,,0,1.0,Maison,,197.0,7.0,S,,327.0
1457534,,,,,,,,1,04/08/2022,Vente,"623500,00",81.0,,RUE,8720,SOUBIRAS CAUD,33200.0,BORDEAUX,33,63,,YE,133,,36,"132,22",37,"132,00",,,,,,,2,2.0,Appartement,,133.0,5.0,,,
1457538,,,,,,,,1,03/08/2022,Vente,"206000,00",11.0,,RUE,1945,CHARLES LAMOUREUX,33000.0,BORDEAUX,33,63,,KP,22,,8,"38,01",,,,,,,,,1,2.0,Appartement,,44.0,1.0,,,
1457552,,,,,,,,1,22/08/2022,Vente,"187530,00",36.0,,RUE,4905,KYRIE,33800.0,BORDEAUX,33,63,,CR,287,,,,,,,,,,,,0,1.0,Maison,,85.0,3.0,S,,96.0
1457554,,,,,,,,1,12/08/2022,Vente,"153000,00",13.0,,RUE,3900,GENERAL CASTELNAU,33200.0,BORDEAUX,33,63,,VL,25,,17,"39,11",7,,,,,,,,2,2.0,Appartement,,39.0,2.0,,,
1457557,,,,,,,,1,18/08/2022,Vente,"177000,00",8.0,,RUE,7490,DE LA PORTE ST JEAN,33000.0,BORDEAUX,33,63,,HE,26,,5,"41,45",,,,,,,,,1,2.0,Appartement,,43.0,1.0,,,
1457569,,,,,,,,1,30/07/2022,Vente,"230000,00",5.0,,RUE,0520,DES AYRES,33000.0,BORDEAUX,33,63,,HD,67,,9,"37,76",,,,,,,,,1,2.0,Appartement,,38.0,2.0,,,
1457586,,,,,,,,1,10/08/2022,Vente,"201000,00",36.0,,RUE,2206,COMMANDANT CHARCOT CAUD,33200.0,BORDEAUX,33,63,,YE,21,,65,,,,,,,,,,1,2.0,Appartement,,74.0,4.0,,,
1457588,,,,,,,,1,01/08/2022,Vente,"290000,00",32.0,,RUE,1185,DES BOUVIERS,33800.0,BORDEAUX,33,63,,DN,396,,4,,,,,,,,,,1,2.0,Appartement,,52.0,3.0,,,
1457600,,,,,,,,1,22/08/2022,Vente,"500000,00",7.0,B,RUE,1955,CHARLES MARIONNEAU,33000.0,BORDEAUX,33,63,,LA,237,,2,"80,52",,,,,,,,,1,2.0,Appartement,,81.0,3.0,,,
1457609,,,,,,,,1,02/08/2022,Vente,"551600,00",18.0,,RUE,9130,ULYSSE GAYON,33000.0,BORDEAUX,33,63,,LK,86,,,,,,,,,,,,0,1.0,Maison,,122.0,4.0,S,,109.0
1457610,,,,,,,,1,28/07/2022,Vente,"145000,00",4.0,,RUE,8080,DES ROSIERS,33200.0,BORDEAUX,33,63,,YS,68,,21,,,,,,,,,,1,2.0,Appartement,,23.0,1.0,,,
1457614,,,,,,,,1,12/08/2022,Vente,"310000,00",66.0,,RUE,1675,DE CAUDERAN,33000.0,BORDEAUX,33,63,,LT,3,,8,"74,80",,,,,,,,,1,2.0,Appartement,,70.0,3.0,,,
1457621,,,,,,,,1,01/08/2022,Vente,"918700,00",48.0,,RUE,4680,J RENAUD DANDICOLLE,33000.0,BORDEAUX,33,63,,HN,10,,,,,,,,,,,,0,1.0,Maison,,173.0,6.0,S,,337.0
1457622,,,,,,,,1,25/07/2022,Vente,"338100,00",5.0,,RUE,7069,PAULE MARROT,33300.0,BORDEAUX,33,63,,TH,74,,236,"84,54",,,,,,,,,1,2.0,Appartement,,85.0,4.0,,,
1457624,,,,,,,,1,22/08/2022,Vente,"135000,00",135.0,,CRS,9500,DE L YSER,33800.0,BORDEAUX,33,63,,CT,525,,5,,,,,,,,,,1,2.0,Appartement,,21.0,1.0,,,
1457627,,,,,,,,1,25/07/2022,Vente,"132000,00",28.0,,AV,0355,D ARES,33000.0,BORDEAUX,33,63,,IV,73,,36,,,,,,,,,,1,2.0,Appartement,,17.0,1.0,,,
1457632,,,,,,,,1,01/08/2022,Vente,"260500,00",24.0,,RUE,3908,GENERAL DE LARMINAT,33000.0,BORDEAUX,33,63,,IY,40,,132,,,,,,,,,,1,2.0,Appartement,,66.0,3.0,,,
1457636,,,,,,,,1,22/08/2022,Vente,"195000,00",174.0,,CRS,9500,DE L YSER,33800.0,BORDEAUX,33,63,,CR,313,,263,"40,06",271,,,,,,,,2,2.0,Appartement,,35.0,2.0,,,
