,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1430740,,,,,,,,1,07/01/2022,Vente,"336493,00",15.0,,IMP,7305,PIERRE MELIN,33800.0,BORDEAUX,33,63,,CJ,112,,,,,,,,,,,,0,1.0,Maison,,62.0,2.0,S,,125.0
1430751,,,,,,,,1,13/01/2022,Vente,"700000,00",146.0,,CRS,0570,BALGUERIE STUTTENBERG,33300.0,BORDEAUX,33,63,,RP,72,,,,,,,,,,,,0,1.0,Maison,,129.0,4.0,S,,175.0
1430762,,,,,,,,1,05/01/2022,Vente,"550000,00",13.0,,RUE,1655,CASTILLON,33000.0,BORDEAUX,33,63,,KN,209,,2,,,,,,,,,,1,2.0,Appartement,,88.0,2.0,,,
1430764,,,,,,,,1,03/01/2022,Vente,"242085,00",108.0,B,CRS,8285,SAINT LOUIS,33300.0,BORDEAUX,33,63,,RO,55,,73,"68,90",,,,,,,,,1,2.0,Appartement,,68.0,3.0,,,
1430769,,,,,,,,1,07/01/2022,Vente,"135000,00",12.0,,RUE,1635,CASSIGNOL,33000.0,BORDEAUX,33,63,,OX,156,,8,"22,97",,,,,,,,,1,2.0,Appartement,,23.0,1.0,,,
1430774,,,,,,,,1,10/01/2022,Vente,"190500,00",22.0,,RUE,4644,J JACQUES ROUSSEAU CAUD,33200.0,BORDEAUX,33,63,,YE,90,,17,,23,"64,99",,,,,,,2,2.0,Appartement,,64.0,4.0,,,
1430786,,,,,,,,1,07/01/2022,Vente,"310000,00",43.0,,RUE,0550,DES BAHUTIERS,33000.0,BORDEAUX,33,63,,KI,169,,7,,,,,,,,,,1,2.0,Appartement,,52.0,2.0,,,
1430801,,,,,,,,1,17/01/2022,Vente,"226300,00",5.0,,RUE,9380,VILARIS,33800.0,BORDEAUX,33,63,,CU,85,,10,,,,,,,,,,1,2.0,Appartement,,44.0,2.0,,,
1430814,,,,,,,,1,04/01/2022,Vente,"355000,00",299.0,,RUE,6975,PASTEUR,33200.0,BORDEAUX,33,63,,VH,33,,29,,55,"93,55",,,,,,,2,2.0,Appartement,,93.0,5.0,,,
1430815,,,,,,,,1,14/01/2022,Vente,"160000,00",49.0,,RUE,2206,COMMANDANT CHARCOT CAUD,33200.0,BORDEAUX,33,63,,YE,94,,62,"45,77",,,,,,,,,1,2.0,Appartement,,46.0,2.0,,,
