Section,geometry
AB,"POLYGON ((420734.11889774614 6425059.809487736, 420732.8615448901 6425035.461666464, 420732.82033284154 6425034.7186025055, 420732.7838565394 6425032.140843544, 420732.5318781151 6425028.283046842, 420731.26328526245 6425004.213679119, 420730.3804236707 6424988.220981796, 420729.98968078615 6424978.621357556, 420729.3913543159 6424952.042611905, 420726.5490680621 6424914.913321756, 420718.7430248007 6424855.77035117, 420717.6582546642 6424848.503274974, 420716.77208855946 6424844.785083473, 420714.01879111875 6424832.044872395, 420713.90125257993 6424830.304601643, 420704.8114548006 6424796.501696233, 420703.3313340167 6424783.237456912, 420701.0804450564 6424767.595142088, 420674.70700494177 6424651.792839275, 420665.6908270105 6424614.17314726, 420651.6972497307 6424548.42545574, 420651.3771479965 6424547.105634704, 420649.5887854355 6424538.080088007, 420622.15342397883 6424543.946373552, 420618.83194245107 6424544.640084193, 420618.6234427285 6424543.693276033, 420539.16393231845 6424562.52165671, 420493.9585286087 6424576.779191427, 420510.59932060126 6424607.374702049, 420568.49295949657 6424726.888276246, 420609.18795957294 6424828.072538686, 420619.9692237579 6424861.499291494, 420668.2925610757 6425061.0925927125, 420730.3399394958 6425061.579872422, 420734.12646204326 6425061.565804742, 420734.11889774614 6425059.809487736))"
AC,"POLYGON ((420649.5887854355 6424538.080088007, 420645.2734249216 6424527.010921254, 420616.0176456511 6424395.105489664, 420613.8907873604 6424387.17357841, 420613.16225954477 6424384.504543495, 420612.92268775176 6424383.570246126, 420612.7018836509 6424382.701815911, 420612.15847650875 6424380.458086969, 420611.21705155174 6424375.686157697, 420610.3105192174 6424371.868821069, 420609.7676081153 6424369.636188055, 420564.6610773259 6424177.00288236, 420559.64936054766 6424155.70295184, 420554.962800182 6424127.195019425, 420553.97198005574 6424121.14672351, 420553.8181368182 6424120.008456371, 420541.2837340994 6424050.515292361, 420538.4167047357 6424034.722717574, 420508.81374551996 6424047.846692638, 420502.149291903 6424049.824439571, 420488.23697247927 6424053.995131921, 420486.7238808367 6424054.463253169, 420448.4664482208 6424065.918868105, 420446.83904001344 6424066.658962661, 420401.77365022874 6424097.510116735, 420385.92337766755 6424108.361049809, 420366.0594485224 6424108.185055984, 420343.4594996726 6424108.009611913, 420311.96840237064 6424107.944232269, 420263.30254497944 6424106.659827761, 420255.5982716968 6424108.195324043, 420251.85981920443 6424108.941295024, 420239.7306264209 6424110.375268868, 420230.45171539776 6424113.64921108, 420223.38370373007 6424118.4360349, 420188.9580061133 6424141.773315715, 420182.5887691696 6424146.095203549, 420177.1623148583 6424149.752146398, 420207.00616106414 6424181.466328509, 420237.69007782976 6424215.166422906, 420264.232114559 6424254.722834307, 420365.829564559 6424377.420875499, 420403.1623811009 6424437.217727369, 420411.79224855773 6424450.327903269, 420493.9585286087 6424576.779191427, 420539.16393231845 6424562.52165671, 420618.6234427285 6424543.693276033, 420618.83194245107 6424544.640084193, 420622.15342397883 6424543.946373552, 420649.5887854355 6424538.080088007))"
AD,"POLYGON ((420152.88008803624 6423380.754325401, 420135.9600543394 6423395.467418553, 420130.349053864 6423400.489084869, 420123.03913835087 6423406.598805247, 420120.85290095594 6423405.6407591, 420118.62819637026 6423404.706677551, 420116.39759169036 6423403.817334425, 420114.1379074009 6423402.984888888, 420111.8802157289 6423402.196827345, 420109.59294622624 6423401.454567638, 420107.2913858598 6423400.746305079, 420104.977029631 6423400.105327067, 420102.6483826252 6423399.498346231, 420100.65720544854 6423399.009627987, 420098.6522360191 6423398.566002503, 420096.64186534187 6423398.178211111, 420094.63348775543 6423397.834803538, 420092.61081969907 6423397.525392958, 420090.5595709909 6423397.283975729, 420088.5177097822 6423397.075492071, 420086.4788385448 6423396.93358384, 420084.43356963474 6423396.825318145, 420082.1525184541 6423396.749879547, 420079.8670631261 6423396.7524668295, 420077.58260450646 6423396.777246537, 420075.3011361233 6423396.8686018335, 420073.0221596696 6423397.015436927, 420070.76096208097 6423397.205947002, 420068.48647127626 6423397.45264588, 420066.22975944076 6423397.743019725, 420063.9671487359 6423398.078132071, 420062.4788886448 6423392.763783011, 420046.7211048136 6423396.373452682, 420044.2824465884 6423396.838780279, 420041.86306299275 6423397.381070267, 420039.46245567384 6423397.989226834, 420037.08801888826 6423398.651799615, 420034.7180686058 6423399.4142354, 420032.3895758065 6423400.219282449, 420030.0719669412 6423401.090550539, 420027.77263624425 6423402.016589303, 420025.5093628747 6423403.041072741, 420022.47776392347 6423404.5670370795, 420019.4585453194 6423406.192510399, 420016.489176358 6423407.871336643, 420013.562761442 6423409.626061894, 420010.67090954684 6423411.44594489, 420007.822011846 6423413.341726779, 420005.0313551233 6423415.3016025275, 420002.2673690035 6423417.326990444, 419999.5690180482 6423419.405021707, 419997.790446018 6423421.008120831, 419996.0370482611 6423422.643444003, 419994.3330010947 6423424.3210231615, 419992.6536296901 6423426.019730522, 419991.0324985216 6423427.782530764, 419989.42815053096 6423429.566813763, 419987.87315313454 6423431.393352616, 419986.35072408477 6423433.240664951, 419984.87714707275 6423435.11913729, 419950.14841205586 6423476.07134726, 419947.77170363505 6423478.0904763425, 419944.10985384585 6423480.901157428, 419939.9735584846 6423484.945043703, 419927.78156710375 6423498.734700845, 419922.5369753281 6423505.040925794, 419912.7378552997 6423516.466085238, 419892.5015814248 6423534.619901348, 419877.67404682125 6423548.183458116, 419859.03814659297 6423563.23019016, 419795.24059072137 6423605.779160195, 419772.60305267933 6423620.8170798, 419767.6320084127 6423624.231531705, 419763.99949161866 6423627.163306124, 419739.7198895556 6423646.833651769, 419707.99095688644 6423673.187631094, 419670.69186806947 6423705.451505757, 419666.87075116264 6423710.693291818, 419663.35955780593 6423715.26516488, 419801.0875985347 6423813.737742038, 419955.09327299974 6423939.655062641, 420010.00664209615 6423981.215494252, 420066.4070301164 6424033.538659034, 420177.1623148583 6424149.752146398, 420182.5887691696 6424146.095203549, 420188.9580061133 6424141.773315715, 420223.38370373007 6424118.4360349, 420230.45171539776 6424113.64921108, 420239.7306264209 6424110.375268868, 420251.85981920443 6424108.941295024, 420255.5982716968 6424108.195324043, 420263.30254497944 6424106.659827761, 420311.96840237064 6424107.944232269, 420343.4594996726 6424108.009611913, 420366.0594485224 6424108.185055984, 420385.92337766755 6424108.361049809, 420401.77365022874 6424097.510116735, 420446.83904001344 6424066.658962661, 420448.4664482208 6424065.918868105, 420486.7238808367 6424054.463253169, 420488.23697247927 6424053.995131921, 420502.149291903 6424049.824439571, 420508.81374551996 6424047.846692638, 420538.4167047357 6424034.722717574, 420537.4585552858 6424030.285083919, 420539.73106195003 6424028.059609947, 420543.24757396017 6424024.65541883, 420532.40136275085 6423970.240538137, 420524.07286896475 6423920.3045322, 420516.9217831984 6423889.394426749, 420513.56813077733 6423871.922601328, 420511.68854725786 6423858.75408985, 420507.1590245611 6423800.253511578, 420505.072719889 6423763.2569956, 420503.45314386004 6423687.648501762, 420503.67297911854 6423678.4439453855, 420504.4160406837 6423603.496624106, 420485.22856533853 6423602.745051184, 420481.9171133944 6423602.615622094, 420470.4203047366 6423622.754802688, 420472.4813341194 6423626.742714422, 420466.42108093546 6423629.682895376, 420456.6092034495 6423634.492440549, 420446.3110030942 6423639.39052605, 420441.05614491267 6423641.949941936, 420401.38347948395 6423661.930138842, 420397.95305174 6423663.907422633, 420382.5084288815 6423672.016181265, 420380.5702915474 6423668.300737353, 420378.69720840314 6423664.448957244, 420378.31310608104 6423663.643448824, 420378.0882124874 6423663.742484752, 420348.92675180425 6423615.541888692, 420346.3125616008 6423617.204619622, 420341.7381055048 6423620.122723222, 420327.4206834793 6423596.78337766, 420309.02817984374 6423570.046899735, 420304.97604947444 6423558.877123724, 420269.9631934401 6423510.717083919, 420269.5170014808 6423510.114494558, 420263.34175963927 6423501.508267054, 420261.5796677575 6423499.074657214, 420257.0991083608 6423493.338678737, 420247.46997442713 6423480.551418923, 420241.47352291195 6423472.582037372, 420232.4837843356 6423462.412217609, 420226.66346706374 6423455.724648336, 420226.170908235 6423455.14637944, 420202.8435445148 6423429.309910391, 420194.4533365259 6423419.813666856, 420192.27928689896 6423417.365214869, 420189.52194451296 6423414.431516245, 420168.39127341314 6423391.5540306335, 420165.79743035114 6423394.727993507, 420155.1885773818 6423383.730400677, 420155.0128671423 6423383.515927148, 420152.88008803624 6423380.754325401))"
AE,"POLYGON ((420472.4813341194 6423626.742714422, 420470.4203047366 6423622.754802688, 420481.9171133944 6423602.615622094, 420485.22856533853 6423602.745051184, 420504.4160406837 6423603.496624106, 420506.27371333225 6423555.516376903, 420510.9195810968 6423505.165219757, 420516.0283921991 6423471.659519586, 420529.7492392638 6423392.116544818, 420418.7506017918 6423304.792139879, 420237.9928748245 6423342.366696288, 420152.88008803624 6423380.754325401, 420155.0128671423 6423383.515927148, 420155.1885773818 6423383.730400677, 420165.79743035114 6423394.727993507, 420168.39127341314 6423391.5540306335, 420189.52194451296 6423414.431516245, 420192.27928689896 6423417.365214869, 420194.4533365259 6423419.813666856, 420202.8435445148 6423429.309910391, 420226.170908235 6423455.14637944, 420226.66346706374 6423455.724648336, 420232.4837843356 6423462.412217609, 420241.47352291195 6423472.582037372, 420247.46997442713 6423480.551418923, 420257.0991083608 6423493.338678737, 420261.5796677575 6423499.074657214, 420263.34175963927 6423501.508267054, 420269.5170014808 6423510.114494558, 420269.9631934401 6423510.717083919, 420304.97604947444 6423558.877123724, 420309.02817984374 6423570.046899735, 420327.4206834793 6423596.78337766, 420341.7381055048 6423620.122723222, 420346.3125616008 6423617.204619622, 420348.92675180425 6423615.541888692, 420378.0882124874 6423663.742484752, 420378.31310608104 6423663.643448824, 420378.69720840314 6423664.448957244, 420380.5702915474 6423668.300737353, 420382.5084288815 6423672.016181265, 420397.95305174 6423663.907422633, 420401.38347948395 6423661.930138842, 420441.05614491267 6423641.949941936, 420446.3110030942 6423639.39052605, 420456.6092034495 6423634.492440549, 420466.42108093546 6423629.682895376, 420472.4813341194 6423626.742714422))"
AF,"POLYGON ((420123.03913835087 6423406.598805247, 420130.349053864 6423400.489084869, 420135.9600543394 6423395.467418553, 420152.88008803624 6423380.754325401, 420150.69106206705 6423377.973013616, 420150.0997134733 6423377.1323498925, 420142.64023147366 6423369.873600354, 420132.1022118023 6423360.807423712, 420087.5530155275 6423318.36877001, 420006.69860360736 6423248.387218935, 419987.1912600724 6423232.975483922, 419984.68772959255 6423230.942154304, 419964.6172183685 6423214.088185447, 419904.5637732366 6423166.354667439, 419903.2475487792 6423165.224173506, 419895.22258103924 6423158.769378621, 419884.5007543728 6423150.55682612, 419870.2685554245 6423139.555746334, 419872.08762472507 6423136.916798972, 419835.0232882344 6423108.519196106, 419764.9236766208 6423054.812191884, 419713.97318799316 6423015.932534796, 419714.44922454923 6423014.910487398, 419716.64156253857 6423010.019944625, 419683.1396595108 6422977.860660554, 419680.30954052345 6422975.2528652, 419659.35879157204 6422955.570878889, 419657.88892322814 6422954.191623631, 419641.4317744687 6422939.11064559, 419631.13963414327 6422929.389320301, 419623.3482974278 6422922.690851729, 419616.7116002529 6422917.396937336, 419609.646753516 6422912.255709296, 419600.75209608534 6422906.173931427, 419591.35983460344 6422900.459217596, 419590.9909718394 6422899.819837054, 419592.0280436705 6422898.0832083, 419593.6299668585 6422895.364999516, 419586.8925357462 6422889.063886834, 419575.290378638 6422878.356469081, 419550.9002872421 6422855.727568159, 419516.5128730533 6422823.964716027, 419512.56907821714 6422820.339755182, 419481.9633555344 6422854.860624236, 419323.7023310097 6423026.724632203, 419292.44809380855 6423061.375775192, 419057.16931816307 6423317.546076935, 419127.85895490454 6423364.425399306, 419307.6992912731 6423484.2828497635, 419355.96716543206 6423515.941855976, 419434.3374255646 6423567.526219748, 419591.26980425493 6423668.721143539, 419623.062817175 6423689.326970037, 419663.35955780593 6423715.26516488, 419666.87075116264 6423710.693291818, 419670.69186806947 6423705.451505757, 419707.99095688644 6423673.187631094, 419739.7198895556 6423646.833651769, 419763.99949161866 6423627.163306124, 419767.6320084127 6423624.231531705, 419772.60305267933 6423620.8170798, 419795.24059072137 6423605.779160195, 419859.03814659297 6423563.23019016, 419877.67404682125 6423548.183458116, 419892.5015814248 6423534.619901348, 419912.7378552997 6423516.466085238, 419922.5369753281 6423505.040925794, 419927.78156710375 6423498.734700845, 419939.9735584846 6423484.945043703, 419944.10985384585 6423480.901157428, 419947.77170363505 6423478.0904763425, 419950.14841205586 6423476.07134726, 419984.87714707275 6423435.11913729, 419986.35072408477 6423433.240664951, 419987.87315313454 6423431.393352616, 419989.42815053096 6423429.566813763, 419991.0324985216 6423427.782530764, 419992.6536296901 6423426.019730522, 419994.3330010947 6423424.3210231615, 419996.0370482611 6423422.643444003, 419997.790446018 6423421.008120831, 419999.5690180482 6423419.405021707, 420002.2673690035 6423417.326990444, 420005.0313551233 6423415.3016025275, 420007.822011846 6423413.341726779, 420010.67090954684 6423411.44594489, 420013.562761442 6423409.626061894, 420016.489176358 6423407.871336643, 420019.4585453194 6423406.192510399, 420022.47776392347 6423404.5670370795, 420025.5093628747 6423403.041072741, 420027.77263624425 6423402.016589303, 420030.0719669412 6423401.090550539, 420032.3895758065 6423400.219282449, 420034.7180686058 6423399.4142354, 420037.08801888826 6423398.651799615, 420039.46245567384 6423397.989226834, 420041.86306299275 6423397.381070267, 420044.2824465884 6423396.838780279, 420046.7211048136 6423396.373452682, 420062.4788886448 6423392.763783011, 420063.9671487359 6423398.078132071, 420066.22975944076 6423397.743019725, 420068.48647127626 6423397.45264588, 420070.76096208097 6423397.205947002, 420073.0221596696 6423397.015436927, 420075.3011361233 6423396.8686018335, 420077.58260450646 6423396.777246537, 420079.8670631261 6423396.7524668295, 420082.1525184541 6423396.749879547, 420084.43356963474 6423396.825318145, 420086.4788385448 6423396.93358384, 420088.5177097822 6423397.075492071, 420090.5595709909 6423397.283975729, 420092.61081969907 6423397.525392958, 420094.63348775543 6423397.834803538, 420096.64186534187 6423398.178211111, 420098.6522360191 6423398.566002503, 420100.65720544854 6423399.009627987, 420102.6483826252 6423399.498346231, 420104.977029631 6423400.105327067, 420107.2913858598 6423400.746305079, 420109.59294622624 6423401.454567638, 420111.8802157289 6423402.196827345, 420114.1379074009 6423402.984888888, 420116.39759169036 6423403.817334425, 420118.62819637026 6423404.706677551, 420120.85290095594 6423405.6407591, 420123.03913835087 6423406.598805247))"
AH,"POLYGON ((419999.2575786802 6423221.126173901, 419990.62762345036 6423225.49420697, 419988.72213678266 6423232.195139685, 419987.1912600724 6423232.975483922, 420006.69860360736 6423248.387218935, 420087.5530155275 6423318.36877001, 420132.1022118023 6423360.807423712, 420142.64023147366 6423369.873600354, 420150.0997134733 6423377.1323498925, 420150.69106206705 6423377.973013616, 420152.88008803624 6423380.754325401, 420237.9928748245 6423342.366696288, 420418.7506017918 6423304.792139879, 420193.1081047751 6423127.3772167815, 420122.83018911624 6423072.084453243, 420152.8113879866 6423143.384378928, 420148.3725079975 6423145.629437723, 420139.7428473383 6423150.008361, 420136.5636202931 6423151.596483999, 420128.0035173905 6423155.938946209, 420123.1474053925 6423158.402886984, 420120.41800412425 6423159.79292764, 420109.5368857507 6423165.284755044, 420104.4184083607 6423167.893911636, 420099.36847981834 6423170.4444031445, 420094.3570232196 6423172.970934731, 420089.33078142547 6423175.5203709, 420084.4278400918 6423177.997564428, 420074.9085241803 6423182.816792555, 420072.3029383771 6423184.145703129, 420066.5265528834 6423187.073514653, 420063.03862402454 6423188.831196778, 420060.1928489814 6423190.270964678, 420056.01740829955 6423192.393077221, 420053.14056327345 6423193.845362235, 420049.32811831933 6423195.773283504, 420042.50764695794 6423199.226098981, 420038.81160787685 6423201.104325294, 420034.3496277576 6423203.361624397, 420023.6393097454 6423208.779226138, 420021.3266956904 6423209.939343191, 420013.64809181995 6423213.830996258, 420009.766130381 6423215.795420242, 419999.2575786802 6423221.126173901))"
AI,"POLYGON ((420589.0615849515 6423056.5577351935, 420571.3479928548 6423043.910036823, 420562.62325148506 6423040.53215268, 420555.6467333893 6423042.101299581, 420553.21928137855 6423042.643745413, 420548.73236808064 6423043.645431369, 420539.7121820039 6423045.67312814, 420534.1987430583 6423046.887625164, 420530.85676068044 6423047.671213813, 420528.24826949596 6423048.23290552, 420519.57980065345 6423050.167033693, 420516.7690769474 6423050.804507704, 420512.07055419765 6423051.849064057, 420504.482878356 6423053.545738898, 420502.0322528181 6423054.100362373, 420498.6493195255 6423054.852450584, 420494.1387429521 6423055.85523772, 420485.8308859241 6423057.717650863, 420483.8108982337 6423058.175141562, 420480.741203099 6423058.857600865, 420476.1285196633 6423059.876098735, 420464.1881548201 6423062.568545994, 420455.63712246384 6423064.47526121, 420444.7375904408 6423066.920935883, 420434.8867753317 6423069.119462091, 420433.80599627993 6423069.356949968, 420425.10700389615 6423071.314817315, 420415.961099687 6423073.359453869, 420405.3269725043 6423075.726583991, 420397.01127049665 6423077.589469541, 420387.04799228784 6423079.748645343, 420379.20929455094 6423081.490091564, 420371.800734665 6423083.123303972, 420367.2896972682 6423084.115087023, 420360.6723642949 6423085.579395279, 420355.6838385513 6423086.681556017, 420350.9222205696 6423087.729066962, 420340.0207710801 6423090.130541351, 420332.36953785317 6423091.819163115, 420327.060394983 6423093.00244299, 420315.13294446835 6423095.627892321, 420304.020400511 6423098.083376322, 420298.1232755014 6423099.382013466, 420292.4377699439 6423100.637804554, 420286.6111883546 6423101.9221687075, 420277.801279022 6423103.874105007, 420272.2099988632 6423105.114567755, 420267.36158333 6423106.166039296, 420257.2908732233 6423108.396956953, 420251.4490167996 6423109.693158322, 420248.2693638188 6423110.391787794, 420214.61027876067 6423117.817567282, 420193.1081047751 6423127.3772167815, 420418.7506017918 6423304.792139879, 420529.7492392638 6423392.116544818, 420529.9013449396 6423391.275863444, 420543.47724076913 6423314.663489636, 420551.3436250688 6423269.626954877, 420552.63378332404 6423262.242250626, 420558.7538714858 6423227.290354194, 420568.5162239612 6423171.439824008, 420569.1562713196 6423168.0756844515, 420575.87648965395 6423134.508902441, 420581.46395031747 6423101.78230047, 420583.1731577238 6423092.099595935, 420584.64627668133 6423082.972265222, 420586.94632162317 6423068.82693365, 420589.0615849515 6423056.5577351935))"
AK,"POLYGON ((420553.21928137855 6423042.643745413, 420555.6467333893 6423042.101299581, 420562.62325148506 6423040.53215268, 420571.3479928548 6423043.910036823, 420589.0615849515 6423056.5577351935, 420590.528690359 6423047.119367327, 420592.09974339453 6423035.9419090785, 420593.6081564187 6423024.778377449, 420594.82200635073 6423014.80657473, 420595.8627757973 6423005.031539746, 420596.75059570937 6422995.196652561, 420597.4902430683 6422984.87920936, 420597.9510419195 6422975.574899752, 420598.41304789716 6422964.180324253, 420598.61713450815 6422953.030791783, 420598.6809904529 6422944.222356375, 420598.53071071464 6422933.989279065, 420598.3506125872 6422924.5024541095, 420598.0025062705 6422914.267126342, 420597.50847305486 6422904.305175514, 420597.2022552696 6422893.945669705, 420596.6009774282 6422882.120676762, 420596.0398589596 6422870.838672479, 420595.27249481226 6422858.131672098, 420594.478253448 6422847.471615862, 420593.61632233596 6422836.536639966, 420593.23196212034 6422832.373445425, 420566.6760889429 6422839.678948988, 420567.0180154784 6422843.77733611, 420328.7323596158 6422909.766718051, 420344.1930292154 6422977.416373358, 420362.7277091124 6422971.859536813, 420377.3406674539 6423026.7947407765, 420372.4512891209 6423027.99250127, 420376.26123330765 6423042.575370108, 420379.1635164528 6423053.674504208, 420379.9560358091 6423056.707561023, 420381.827969138 6423056.1232607905, 420383.04387355625 6423060.660511281, 420383.988564928 6423064.264885791, 420387.8101993497 6423078.580397733, 420387.04799228784 6423079.748645343, 420397.01127049665 6423077.589469541, 420405.3269725043 6423075.726583991, 420415.961099687 6423073.359453869, 420425.10700389615 6423071.314817315, 420433.80599627993 6423069.356949968, 420434.8867753317 6423069.119462091, 420444.7375904408 6423066.920935883, 420455.63712246384 6423064.47526121, 420464.1881548201 6423062.568545994, 420476.1285196633 6423059.876098735, 420480.741203099 6423058.857600865, 420483.8108982337 6423058.175141562, 420485.8308859241 6423057.717650863, 420494.1387429521 6423055.85523772, 420498.6493195255 6423054.852450584, 420502.0322528181 6423054.100362373, 420504.482878356 6423053.545738898, 420512.07055419765 6423051.849064057, 420516.7690769474 6423050.804507704, 420519.57980065345 6423050.167033693, 420528.24826949596 6423048.23290552, 420530.85676068044 6423047.671213813, 420534.1987430583 6423046.887625164, 420539.7121820039 6423045.67312814, 420548.73236808064 6423043.645431369, 420553.21928137855 6423042.643745413))"
AL,"POLYGON ((420251.4490167996 6423109.693158322, 420257.2908732233 6423108.396956953, 420267.36158333 6423106.166039296, 420272.2099988632 6423105.114567755, 420277.801279022 6423103.874105007, 420286.6111883546 6423101.9221687075, 420292.4377699439 6423100.637804554, 420298.1232755014 6423099.382013466, 420304.020400511 6423098.083376322, 420315.13294446835 6423095.627892321, 420327.060394983 6423093.00244299, 420332.36953785317 6423091.819163115, 420340.0207710801 6423090.130541351, 420350.9222205696 6423087.729066962, 420355.6838385513 6423086.681556017, 420360.6723642949 6423085.579395279, 420367.2896972682 6423084.115087023, 420371.800734665 6423083.123303972, 420379.20929455094 6423081.490091564, 420387.04799228784 6423079.748645343, 420387.8101993497 6423078.580397733, 420383.988564928 6423064.264885791, 420383.04387355625 6423060.660511281, 420381.827969138 6423056.1232607905, 420379.9560358091 6423056.707561023, 420379.1635164528 6423053.674504208, 420376.26123330765 6423042.575370108, 420372.4512891209 6423027.99250127, 420377.3406674539 6423026.7947407765, 420362.7277091124 6422971.859536813, 420344.1930292154 6422977.416373358, 420328.7323596158 6422909.766718051, 420282.47956020327 6422922.804846409, 420243.4826401592 6422778.906968126, 420224.3967568951 6422806.202692264, 420200.20278733 6422836.518452801, 420163.85590407933 6422874.306571219, 420149.8708064739 6422886.953245935, 420127.5570660978 6422905.933284569, 420096.2200267009 6422928.631849382, 420062.66077146214 6422949.217869987, 420005.5562028823 6422980.012056759, 420122.83018911624 6423072.084453243, 420193.1081047751 6423127.3772167815, 420214.61027876067 6423117.817567282, 420248.2693638188 6423110.391787794, 420251.4490167996 6423109.693158322))"
